Area_name,Area_type,Average_2018_2019,Category,Count,Month,Type,Variation (%)
NHS Fife,Health board,369.5,All,327,2020-11-01,all,-11.5
NHS Forth Valley,Health board,267,All,218,2020-11-01,all,-18.4
NHS Grampian,Health board,434.5,All,382,2020-11-01,all,-12.1
NHS Greater Glasgow & Clyde,Health board,1147.5,All,894,2020-11-01,all,-22.1
NHS Highland,Health board,270,All,266,2020-11-01,all,-1.5
NHS Lanarkshire,Health board,621.5,All,485,2020-11-01,all,-22
NHS Lothian,Health board,728.5,All,524,2020-11-01,all,-28.1
NHS Orkney,Health board,16.5,All,24,2020-11-01,all,45.5
NHS Shetland,Health board,20,All,25,2020-11-01,all,25
NHS Tayside,Health board,446,All,373,2020-11-01,all,-16.4
NHS Western Isles,Health board,28,All,31,2020-11-01,all,10.7
NHS Ayrshire & Arran,Health board,182.5,Female,177,2020-11-01,sex,-3
NHS Borders,Health board,57,Female,45,2020-11-01,sex,-21.1
NHS Dumfries & Galloway,Health board,73,Female,75,2020-11-01,sex,2.7
NHS Fife,Health board,187,Female,172,2020-11-01,sex,-8
NHS Forth Valley,Health board,126,Female,108,2020-11-01,sex,-14.3
NHS Grampian,Health board,216,Female,183,2020-11-01,sex,-15.3
NHS Greater Glasgow & Clyde,Health board,569.5,Female,471,2020-11-01,sex,-17.3
NHS Highland,Health board,140,Female,133,2020-11-01,sex,-5
NHS Lanarkshire,Health board,309,Female,218,2020-11-01,sex,-29.4
NHS Lothian,Health board,364.5,Female,291,2020-11-01,sex,-20.2
NHS Orkney,Health board,9,Female,13,2020-11-01,sex,44.4
NHS Shetland,Health board,9.5,Female,15,2020-11-01,sex,57.9
NHS Tayside,Health board,218,Female,184,2020-11-01,sex,-15.6
NHS Western Isles,Health board,16.5,Female,18,2020-11-01,sex,9.1
NHS Ayrshire & Arran,Health board,131,Home,155,2020-11-01,injurylocation,18.3
NHS Borders,Health board,51.5,Home,42,2020-11-01,injurylocation,-18.4
NHS Dumfries & Galloway,Health board,66,Home,63,2020-11-01,injurylocation,-4.5
NHS Fife,Health board,154,Home,168,2020-11-01,injurylocation,9.1
NHS Forth Valley,Health board,89,Home,85,2020-11-01,injurylocation,-4.5
NHS Grampian,Health board,172.5,Home,188,2020-11-01,injurylocation,9
NHS Greater Glasgow & Clyde,Health board,292.5,Home,274,2020-11-01,injurylocation,-6.3
NHS Highland,Health board,98,Home,95,2020-11-01,injurylocation,-3.1
NHS Lanarkshire,Health board,165,Home,157,2020-11-01,injurylocation,-4.8
NHS Lothian,Health board,306.5,Home,271,2020-11-01,injurylocation,-11.6
NHS Orkney,Health board,5.5,Home,15,2020-11-01,injurylocation,172.7
NHS Shetland,Health board,8,Home,15,2020-11-01,injurylocation,87.5
NHS Tayside,Health board,177,Home,171,2020-11-01,injurylocation,-3.4
NHS Western Isles,Health board,6,Home,17,2020-11-01,injurylocation,183.3
NHS Ayrshire & Arran,Health board,172,Male,146,2020-11-01,sex,-15.1
NHS Borders,Health board,52,Male,30,2020-11-01,sex,-42.3
NHS Dumfries & Galloway,Health board,56,Male,65,2020-11-01,sex,16.1
NHS Fife,Health board,182.5,Male,155,2020-11-01,sex,-15.1
NHS Forth Valley,Health board,141,Male,110,2020-11-01,sex,-22
NHS Grampian,Health board,218.5,Male,199,2020-11-01,sex,-8.9
NHS Greater Glasgow & Clyde,Health board,578,Male,423,2020-11-01,sex,-26.8
NHS Highland,Health board,130,Male,133,2020-11-01,sex,2.3
NHS Lanarkshire,Health board,312.5,Male,267,2020-11-01,sex,-14.6
NHS Lothian,Health board,364,Male,233,2020-11-01,sex,-36
NHS Orkney,Health board,7.5,Male,11,2020-11-01,sex,46.7
NHS Shetland,Health board,10.5,Male,10,2020-11-01,sex,-4.8
NHS Tayside,Health board,228,Male,189,2020-11-01,sex,-17.1
NHS Western Isles,Health board,11.5,Male,13,2020-11-01,sex,13
NHS Ayrshire & Arran,Health board,54.5,Other,49,2020-11-01,injurylocation,-10.1
NHS Borders,Health board,20.5,Other,11,2020-11-01,injurylocation,-46.3
NHS Dumfries & Galloway,Health board,30.5,Other,33,2020-11-01,injurylocation,8.2
NHS Fife,Health board,74.5,Other,65,2020-11-01,injurylocation,-12.8
NHS Forth Valley,Health board,40,Other,34,2020-11-01,injurylocation,-15
NHS Grampian,Health board,88.5,Other,69,2020-11-01,injurylocation,-22
NHS Greater Glasgow & Clyde,Health board,148.5,Other,114,2020-11-01,injurylocation,-23.2
NHS Highland,Health board,52.5,Other,39,2020-11-01,injurylocation,-25.7
NHS Lanarkshire,Health board,84,Other,57,2020-11-01,injurylocation,-32.1
NHS Lothian,Health board,133,Other,95,2020-11-01,injurylocation,-28.6
NHS Tayside,Health board,84,Other,65,2020-11-01,injurylocation,-22.6
NHS Ayrshire & Arran,Health board,141.5,Undisclosed,98,2020-11-01,injurylocation,-30.7
NHS Borders,Health board,29.5,Undisclosed,15,2020-11-01,injurylocation,-49.2
NHS Dumfries & Galloway,Health board,20.5,Undisclosed,29,2020-11-01,injurylocation,41.5
NHS Fife,Health board,112,Undisclosed,75,2020-11-01,injurylocation,-33
NHS Forth Valley,Health board,121.5,Undisclosed,95,2020-11-01,injurylocation,-21.8
NHS Grampian,Health board,129,Undisclosed,79,2020-11-01,injurylocation,-38.8
NHS Greater Glasgow & Clyde,Health board,641.5,Undisclosed,450,2020-11-01,injurylocation,-29.9
NHS Highland,Health board,95.5,Undisclosed,112,2020-11-01,injurylocation,17.3
NHS Lanarkshire,Health board,342,Undisclosed,240,2020-11-01,injurylocation,-29.8
NHS Lothian,Health board,231.5,Undisclosed,125,2020-11-01,injurylocation,-46
NHS Orkney,Health board,5,Undisclosed,5,2020-11-01,injurylocation,0
NHS Shetland,Health board,4,Undisclosed,5,2020-11-01,injurylocation,25
NHS Tayside,Health board,159.5,Undisclosed,102,2020-11-01,injurylocation,-36.1
NHS Western Isles,Health board,15.5,Undisclosed,9,2020-11-01,injurylocation,-41.9
Aberdeen City,HSC partnership,15,0-4,16,2020-11-01,age,6.7
Aberdeenshire,HSC partnership,10.5,0-4,19,2020-11-01,age,81
Angus,HSC partnership,5,0-4,6,2020-11-01,age,20
Argyll & Bute,HSC partnership,2,0-4,5,2020-11-01,age,150
Dumfries & Galloway,HSC partnership,8,0-4,5,2020-11-01,age,-37.5
Dundee City,HSC partnership,10,0-4,9,2020-11-01,age,-10
East Dunbartonshire,HSC partnership,6,0-4,7,2020-11-01,age,16.7
East Renfrewshire,HSC partnership,3,0-4,6,2020-11-01,age,100
Edinburgh,HSC partnership,15.5,0-4,9,2020-11-01,age,-41.9
Fife,HSC partnership,21,0-4,10,2020-11-01,age,-52.4
Glasgow City,HSC partnership,19.5,0-4,24,2020-11-01,age,23.1
Inverclyde,HSC partnership,4.5,0-4,5,2020-11-01,age,11.1
North Ayrshire,HSC partnership,3.5,0-4,7,2020-11-01,age,100
North Lanarkshire,HSC partnership,18,0-4,17,2020-11-01,age,-5.6
Perth & Kinross,HSC partnership,5.5,0-4,6,2020-11-01,age,9.1
Renfrewshire,HSC partnership,12,0-4,12,2020-11-01,age,0
Scottish Borders,HSC partnership,9.5,0-4,5,2020-11-01,age,-47.4
South Lanarkshire,HSC partnership,10.5,0-4,8,2020-11-01,age,-23.8
West Dunbartonshire,HSC partnership,5.5,0-4,7,2020-11-01,age,27.3
Aberdeenshire,HSC partnership,10.5,12-17,7,2020-11-01,age,-33.3
Dumfries & Galloway,HSC partnership,3.5,12-17,8,2020-11-01,age,128.6
Dundee City,HSC partnership,5,12-17,7,2020-11-01,age,40
Edinburgh,HSC partnership,13,12-17,6,2020-11-01,age,-53.8
Fife,HSC partnership,12.5,12-17,5,2020-11-01,age,-60
Glasgow City,HSC partnership,30,12-17,12,2020-11-01,age,-60
North Ayrshire,HSC partnership,3.5,12-17,7,2020-11-01,age,100
North Lanarkshire,HSC partnership,11,12-17,7,2020-11-01,age,-36.4
Perth & Kinross,HSC partnership,3,12-17,6,2020-11-01,age,100
Renfrewshire,HSC partnership,4.5,12-17,6,2020-11-01,age,33.3
Scottish Borders,HSC partnership,5,12-17,5,2020-11-01,age,0
South Lanarkshire,HSC partnership,12.5,12-17,7,2020-11-01,age,-44
Aberdeen City,HSC partnership,15.5,18-24,8,2020-11-01,age,-48.4
Aberdeenshire,HSC partnership,13,18-24,9,2020-11-01,age,-30.8
Angus,HSC partnership,6,18-24,5,2020-11-01,age,-16.7
Clackmannanshire & Stirling,HSC partnership,7.5,18-24,7,2020-11-01,age,-6.7
Dumfries & Galloway,HSC partnership,7,18-24,7,2020-11-01,age,0
Dundee City,HSC partnership,13,18-24,10,2020-11-01,age,-23.1
Edinburgh,HSC partnership,23.5,18-24,12,2020-11-01,age,-48.9
Fife,HSC partnership,16.5,18-24,14,2020-11-01,age,-15.2
Glasgow City,HSC partnership,39.5,18-24,30,2020-11-01,age,-24.1
Highland,HSC partnership,8.5,18-24,13,2020-11-01,age,52.9
Midlothian,HSC partnership,6,18-24,8,2020-11-01,age,33.3
North Ayrshire,HSC partnership,2.5,18-24,6,2020-11-01,age,140
North Lanarkshire,HSC partnership,21,18-24,13,2020-11-01,age,-38.1
Scottish Borders,HSC partnership,4,18-24,5,2020-11-01,age,25
South Lanarkshire,HSC partnership,10.5,18-24,5,2020-11-01,age,-52.4
Aberdeen City,HSC partnership,39.5,25-44,27,2020-11-01,age,-31.6
Aberdeenshire,HSC partnership,19,25-44,21,2020-11-01,age,10.5
Angus,HSC partnership,15,25-44,16,2020-11-01,age,6.7
Argyll & Bute,HSC partnership,11.5,25-44,8,2020-11-01,age,-30.4
Clackmannanshire & Stirling,HSC partnership,20.5,25-44,24,2020-11-01,age,17.1
Dumfries & Galloway,HSC partnership,15.5,25-44,11,2020-11-01,age,-29
Dundee City,HSC partnership,29.5,25-44,25,2020-11-01,age,-15.3
East Ayrshire,HSC partnership,15,25-44,21,2020-11-01,age,40
East Dunbartonshire,HSC partnership,12,25-44,10,2020-11-01,age,-16.7
East Lothian,HSC partnership,12.5,25-44,7,2020-11-01,age,-44
East Renfrewshire,HSC partnership,11,25-44,5,2020-11-01,age,-54.5
Edinburgh,HSC partnership,79,25-44,53,2020-11-01,age,-32.9
Falkirk,HSC partnership,17,25-44,17,2020-11-01,age,0
Fife,HSC partnership,56,25-44,36,2020-11-01,age,-35.7
Glasgow City,HSC partnership,122.5,25-44,90,2020-11-01,age,-26.5
Highland,HSC partnership,19.5,25-44,27,2020-11-01,age,38.5
Inverclyde,HSC partnership,5.5,25-44,11,2020-11-01,age,100
Midlothian,HSC partnership,12,25-44,9,2020-11-01,age,-25
North Ayrshire,HSC partnership,15,25-44,13,2020-11-01,age,-13.3
North Lanarkshire,HSC partnership,48.5,25-44,48,2020-11-01,age,-1
Perth & Kinross,HSC partnership,20.5,25-44,15,2020-11-01,age,-26.8
Renfrewshire,HSC partnership,29.5,25-44,16,2020-11-01,age,-45.8
South Ayrshire,HSC partnership,9,25-44,17,2020-11-01,age,88.9
South Lanarkshire,HSC partnership,45,25-44,34,2020-11-01,age,-24.4
West Dunbartonshire,HSC partnership,12.5,25-44,10,2020-11-01,age,-20
West Lothian,HSC partnership,29,25-44,12,2020-11-01,age,-58.6
Aberdeen City,HSC partnership,29.5,45-64,24,2020-11-01,age,-18.6
Aberdeenshire,HSC partnership,35.5,45-64,29,2020-11-01,age,-18.3
Angus,HSC partnership,25.5,45-64,11,2020-11-01,age,-56.9
Argyll & Bute,HSC partnership,23.5,45-64,16,2020-11-01,age,-31.9
Clackmannanshire & Stirling,HSC partnership,22.5,45-64,17,2020-11-01,age,-24.4
Dumfries & Galloway,HSC partnership,26.5,45-64,24,2020-11-01,age,-9.4
Dundee City,HSC partnership,29.5,45-64,38,2020-11-01,age,28.8
East Ayrshire,HSC partnership,28,45-64,23,2020-11-01,age,-17.9
East Dunbartonshire,HSC partnership,14,45-64,16,2020-11-01,age,14.3
East Lothian,HSC partnership,17,45-64,13,2020-11-01,age,-23.5
East Renfrewshire,HSC partnership,12,45-64,16,2020-11-01,age,33.3
Edinburgh,HSC partnership,74.5,45-64,57,2020-11-01,age,-23.5
Falkirk,HSC partnership,28.5,45-64,26,2020-11-01,age,-8.8
Fife,HSC partnership,64.5,45-64,56,2020-11-01,age,-13.2
Glasgow City,HSC partnership,156.5,45-64,110,2020-11-01,age,-29.7
Highland,HSC partnership,34.5,45-64,34,2020-11-01,age,-1.4
Inverclyde,HSC partnership,14.5,45-64,17,2020-11-01,age,17.2
Midlothian,HSC partnership,18,45-64,8,2020-11-01,age,-55.6
Moray,HSC partnership,13.5,45-64,21,2020-11-01,age,55.6
North Ayrshire,HSC partnership,28.5,45-64,29,2020-11-01,age,1.8
North Lanarkshire,HSC partnership,78.5,45-64,62,2020-11-01,age,-21
Perth & Kinross,HSC partnership,23.5,45-64,22,2020-11-01,age,-6.4
Renfrewshire,HSC partnership,35,45-64,28,2020-11-01,age,-20
Scottish Borders,HSC partnership,19.5,45-64,16,2020-11-01,age,-17.9
Shetland Islands,HSC partnership,7.5,45-64,6,2020-11-01,age,-20
South Ayrshire,HSC partnership,25.5,45-64,23,2020-11-01,age,-9.8
South Lanarkshire,HSC partnership,61.5,45-64,63,2020-11-01,age,2.4
West Dunbartonshire,HSC partnership,22.5,45-64,17,2020-11-01,age,-24.4
West Lothian,HSC partnership,27.5,45-64,23,2020-11-01,age,-16.4
Western Isles,HSC partnership,5,45-64,8,2020-11-01,age,60
Aberdeen City,HSC partnership,6,5-11,5,2020-11-01,age,-16.7
Aberdeenshire,HSC partnership,11.5,5-11,10,2020-11-01,age,-13
East Dunbartonshire,HSC partnership,4.5,5-11,5,2020-11-01,age,11.1
Edinburgh,HSC partnership,9.5,5-11,5,2020-11-01,age,-47.4
Falkirk,HSC partnership,4.5,5-11,10,2020-11-01,age,122.2
Fife,HSC partnership,15,5-11,13,2020-11-01,age,-13.3
Glasgow City,HSC partnership,31,5-11,15,2020-11-01,age,-51.6
Moray,HSC partnership,2.5,5-11,5,2020-11-01,age,100
North Lanarkshire,HSC partnership,11.5,5-11,9,2020-11-01,age,-21.7
Scottish Borders,HSC partnership,3.5,5-11,5,2020-11-01,age,42.9
South Lanarkshire,HSC partnership,8,5-11,9,2020-11-01,age,12.5
Aberdeen City,HSC partnership,29.5,65-79,29,2020-11-01,age,-1.7
Aberdeenshire,HSC partnership,38.5,65-79,30,2020-11-01,age,-22.1
Angus,HSC partnership,31.5,65-79,20,2020-11-01,age,-36.5
Argyll & Bute,HSC partnership,25,65-79,17,2020-11-01,age,-32
Clackmannanshire & Stirling,HSC partnership,27,65-79,23,2020-11-01,age,-14.8
Dumfries & Galloway,HSC partnership,27,65-79,27,2020-11-01,age,0
Dundee City,HSC partnership,35.5,65-79,23,2020-11-01,age,-35.2
East Ayrshire,HSC partnership,22.5,65-79,22,2020-11-01,age,-2.2
East Dunbartonshire,HSC partnership,19.5,65-79,14,2020-11-01,age,-28.2
East Lothian,HSC partnership,20,65-79,18,2020-11-01,age,-10
East Renfrewshire,HSC partnership,16.5,65-79,15,2020-11-01,age,-9.1
Edinburgh,HSC partnership,73,65-79,58,2020-11-01,age,-20.5
Falkirk,HSC partnership,31.5,65-79,22,2020-11-01,age,-30.2
Fife,HSC partnership,90,65-79,71,2020-11-01,age,-21.1
Glasgow City,HSC partnership,119.5,65-79,88,2020-11-01,age,-26.4
Highland,HSC partnership,38.5,65-79,50,2020-11-01,age,29.9
Inverclyde,HSC partnership,18,65-79,13,2020-11-01,age,-27.8
Midlothian,HSC partnership,16,65-79,18,2020-11-01,age,12.5
Moray,HSC partnership,14,65-79,10,2020-11-01,age,-28.6
North Ayrshire,HSC partnership,32,65-79,26,2020-11-01,age,-18.8
North Lanarkshire,HSC partnership,64.5,65-79,31,2020-11-01,age,-51.9
Orkney Islands,HSC partnership,3.5,65-79,6,2020-11-01,age,71.4
Perth & Kinross,HSC partnership,27.5,65-79,30,2020-11-01,age,9.1
Renfrewshire,HSC partnership,29.5,65-79,22,2020-11-01,age,-25.4
Scottish Borders,HSC partnership,27,65-79,11,2020-11-01,age,-59.3
Shetland Islands,HSC partnership,4,65-79,6,2020-11-01,age,50
South Ayrshire,HSC partnership,28.5,65-79,28,2020-11-01,age,-1.8
South Lanarkshire,HSC partnership,79,65-79,46,2020-11-01,age,-41.8
West Dunbartonshire,HSC partnership,21,65-79,23,2020-11-01,age,9.5
West Lothian,HSC partnership,24,65-79,14,2020-11-01,age,-41.7
Western Isles,HSC partnership,7.5,65-79,6,2020-11-01,age,-20
Aberdeen City,HSC partnership,46,80 and over,37,2020-11-01,age,-19.6
Aberdeenshire,HSC partnership,43.5,80 and over,35,2020-11-01,age,-19.5
Angus,HSC partnership,43,80 and over,31,2020-11-01,age,-27.9
Argyll & Bute,HSC partnership,31,80 and over,27,2020-11-01,age,-12.9
Clackmannanshire & Stirling,HSC partnership,36,80 and over,27,2020-11-01,age,-25
Dumfries & Galloway,HSC partnership,37.5,80 and over,54,2020-11-01,age,44
Dundee City,HSC partnership,41.5,80 and over,35,2020-11-01,age,-15.7
East Ayrshire,HSC partnership,26,80 and over,18,2020-11-01,age,-30.8
East Dunbartonshire,HSC partnership,38,80 and over,30,2020-11-01,age,-21.1
East Lothian,HSC partnership,25.5,80 and over,25,2020-11-01,age,-2
East Renfrewshire,HSC partnership,29,80 and over,29,2020-11-01,age,0
Edinburgh,HSC partnership,121.5,80 and over,102,2020-11-01,age,-16
Falkirk,HSC partnership,39.5,80 and over,30,2020-11-01,age,-24.1
Fife,HSC partnership,94,80 and over,122,2020-11-01,age,29.8
Glasgow City,HSC partnership,114.5,80 and over,94,2020-11-01,age,-17.9
Highland,HSC partnership,49,80 and over,49,2020-11-01,age,0
Inverclyde,HSC partnership,21.5,80 and over,18,2020-11-01,age,-16.3
Midlothian,HSC partnership,19,80 and over,21,2020-11-01,age,10.5
Moray,HSC partnership,21.5,80 and over,25,2020-11-01,age,16.3
North Ayrshire,HSC partnership,32,80 and over,25,2020-11-01,age,-21.9
North Lanarkshire,HSC partnership,73.5,80 and over,45,2020-11-01,age,-38.8
Orkney Islands,HSC partnership,4.5,80 and over,8,2020-11-01,age,77.8
Perth & Kinross,HSC partnership,49.5,80 and over,45,2020-11-01,age,-9.1
Renfrewshire,HSC partnership,47.5,80 and over,23,2020-11-01,age,-51.6
Scottish Borders,HSC partnership,30,80 and over,25,2020-11-01,age,-16.7
Shetland Islands,HSC partnership,3,80 and over,8,2020-11-01,age,166.7
South Ayrshire,HSC partnership,28.5,80 and over,34,2020-11-01,age,19.3
South Lanarkshire,HSC partnership,68,80 and over,81,2020-11-01,age,19.1
West Dunbartonshire,HSC partnership,21,80 and over,17,2020-11-01,age,-19
West Lothian,HSC partnership,37.5,80 and over,24,2020-11-01,age,-36
Western Isles,HSC partnership,6,80 and over,11,2020-11-01,age,83.3
Aberdeen City,HSC partnership,183.5,All,148,2020-11-01,all,-19.3
Aberdeenshire,HSC partnership,182,All,160,2020-11-01,all,-12.1
Angus,HSC partnership,135,All,94,2020-11-01,all,-30.4
Argyll & Bute,HSC partnership,106.5,All,81,2020-11-01,all,-23.9
Clackmannanshire & Stirling,HSC partnership,127.5,All,106,2020-11-01,all,-16.9
Dumfries & Galloway,HSC partnership,129,All,140,2020-11-01,all,8.5
Dundee City,HSC partnership,169.5,All,150,2020-11-01,all,-11.5
East Ayrshire,HSC partnership,119.5,All,97,2020-11-01,all,-18.8
East Dunbartonshire,HSC partnership,107,All,86,2020-11-01,all,-19.6
East Lothian,HSC partnership,94.5,All,71,2020-11-01,all,-24.9
East Renfrewshire,HSC partnership,82.5,All,77,2020-11-01,all,-6.7
Edinburgh,HSC partnership,409.5,All,302,2020-11-01,all,-26.3
Falkirk,HSC partnership,139.5,All,112,2020-11-01,all,-19.7
Fife,HSC partnership,369.5,All,327,2020-11-01,all,-11.5
Glasgow City,HSC partnership,633,All,463,2020-11-01,all,-26.9
Highland,HSC partnership,163.5,All,185,2020-11-01,all,13.1
Inverclyde,HSC partnership,69,All,71,2020-11-01,all,2.9
Midlothian,HSC partnership,79,All,68,2020-11-01,all,-13.9
Moray,HSC partnership,69,All,74,2020-11-01,all,7.2
North Ayrshire,HSC partnership,124,All,116,2020-11-01,all,-6.5
North Lanarkshire,HSC partnership,326.5,All,232,2020-11-01,all,-28.9
Orkney Islands,HSC partnership,16.5,All,24,2020-11-01,all,45.5
Perth & Kinross,HSC partnership,141.5,All,129,2020-11-01,all,-8.8
Renfrewshire,HSC partnership,166,All,113,2020-11-01,all,-31.9
Scottish Borders,HSC partnership,109,All,75,2020-11-01,all,-31.2
Shetland Islands,HSC partnership,20,All,25,2020-11-01,all,25
South Ayrshire,HSC partnership,111,All,110,2020-11-01,all,-0.9
South Lanarkshire,HSC partnership,295,All,253,2020-11-01,all,-14.2
West Dunbartonshire,HSC partnership,90,All,84,2020-11-01,all,-6.7
West Lothian,HSC partnership,145.5,All,83,2020-11-01,all,-43
Western Isles,HSC partnership,28,All,31,2020-11-01,all,10.7
Aberdeen City,HSC partnership,89.5,Female,66,2020-11-01,sex,-26.3
Aberdeenshire,HSC partnership,88,Female,82,2020-11-01,sex,-6.8
Angus,HSC partnership,70.5,Female,53,2020-11-01,sex,-24.8
Argyll & Bute,HSC partnership,53.5,Female,42,2020-11-01,sex,-21.5
Clackmannanshire & Stirling,HSC partnership,60,Female,47,2020-11-01,sex,-21.7
Dumfries & Galloway,HSC partnership,73,Female,75,2020-11-01,sex,2.7
Dundee City,HSC partnership,79.5,Female,64,2020-11-01,sex,-19.5
East Ayrshire,HSC partnership,57.5,Female,49,2020-11-01,sex,-14.8
East Dunbartonshire,HSC partnership,53,Female,47,2020-11-01,sex,-11.3
East Lothian,HSC partnership,47.5,Female,45,2020-11-01,sex,-5.3
East Renfrewshire,HSC partnership,46.5,Female,48,2020-11-01,sex,3.2
Edinburgh,HSC partnership,213.5,Female,166,2020-11-01,sex,-22.2
Falkirk,HSC partnership,66,Female,61,2020-11-01,sex,-7.6
Fife,HSC partnership,187,Female,172,2020-11-01,sex,-8
Glasgow City,HSC partnership,303.5,Female,232,2020-11-01,sex,-23.6
Highland,HSC partnership,86.5,Female,91,2020-11-01,sex,5.2
Inverclyde,HSC partnership,36.5,Female,39,2020-11-01,sex,6.8
Midlothian,HSC partnership,35.5,Female,38,2020-11-01,sex,7
Moray,HSC partnership,38.5,Female,35,2020-11-01,sex,-9.1
North Ayrshire,HSC partnership,68.5,Female,63,2020-11-01,sex,-8
North Lanarkshire,HSC partnership,153.5,Female,95,2020-11-01,sex,-38.1
Orkney Islands,HSC partnership,9,Female,13,2020-11-01,sex,44.4
Perth & Kinross,HSC partnership,68,Female,67,2020-11-01,sex,-1.5
Renfrewshire,HSC partnership,84,Female,62,2020-11-01,sex,-26.2
Scottish Borders,HSC partnership,57,Female,45,2020-11-01,sex,-21.1
Shetland Islands,HSC partnership,9.5,Female,15,2020-11-01,sex,57.9
South Ayrshire,HSC partnership,56.5,Female,65,2020-11-01,sex,15
South Lanarkshire,HSC partnership,155.5,Female,123,2020-11-01,sex,-20.9
West Dunbartonshire,HSC partnership,46,Female,43,2020-11-01,sex,-6.5
West Lothian,HSC partnership,68,Female,42,2020-11-01,sex,-38.2
Western Isles,HSC partnership,16.5,Female,18,2020-11-01,sex,9.1
Aberdeen City,HSC partnership,73.5,Home,84,2020-11-01,injurylocation,14.3
Aberdeenshire,HSC partnership,74,Home,80,2020-11-01,injurylocation,8.1
Angus,HSC partnership,54.5,Home,44,2020-11-01,injurylocation,-19.3
Argyll & Bute,HSC partnership,43.5,Home,41,2020-11-01,injurylocation,-5.7
Clackmannanshire & Stirling,HSC partnership,43,Home,39,2020-11-01,injurylocation,-9.3
Dumfries & Galloway,HSC partnership,66,Home,63,2020-11-01,injurylocation,-4.5
Dundee City,HSC partnership,70,Home,76,2020-11-01,injurylocation,8.6
East Ayrshire,HSC partnership,40.5,Home,41,2020-11-01,injurylocation,1.2
East Dunbartonshire,HSC partnership,32.5,Home,31,2020-11-01,injurylocation,-4.6
East Lothian,HSC partnership,43.5,Home,38,2020-11-01,injurylocation,-12.6
East Renfrewshire,HSC partnership,25,Home,30,2020-11-01,injurylocation,20
Edinburgh,HSC partnership,172.5,Home,144,2020-11-01,injurylocation,-16.5
Falkirk,HSC partnership,46,Home,46,2020-11-01,injurylocation,0
Fife,HSC partnership,154,Home,168,2020-11-01,injurylocation,9.1
Glasgow City,HSC partnership,141,Home,129,2020-11-01,injurylocation,-8.5
Highland,HSC partnership,54.5,Home,54,2020-11-01,injurylocation,-0.9
Inverclyde,HSC partnership,21.5,Home,20,2020-11-01,injurylocation,-7
Midlothian,HSC partnership,31,Home,45,2020-11-01,injurylocation,45.2
Moray,HSC partnership,25,Home,24,2020-11-01,injurylocation,-4
North Ayrshire,HSC partnership,44.5,Home,57,2020-11-01,injurylocation,28.1
North Lanarkshire,HSC partnership,83,Home,70,2020-11-01,injurylocation,-15.7
Orkney Islands,HSC partnership,5.5,Home,15,2020-11-01,injurylocation,172.7
Perth & Kinross,HSC partnership,52.5,Home,51,2020-11-01,injurylocation,-2.9
Renfrewshire,HSC partnership,47.5,Home,33,2020-11-01,injurylocation,-30.5
Scottish Borders,HSC partnership,51.5,Home,42,2020-11-01,injurylocation,-18.4
Shetland Islands,HSC partnership,8,Home,15,2020-11-01,injurylocation,87.5
South Ayrshire,HSC partnership,46,Home,57,2020-11-01,injurylocation,23.9
South Lanarkshire,HSC partnership,82,Home,87,2020-11-01,injurylocation,6.1
West Dunbartonshire,HSC partnership,25,Home,31,2020-11-01,injurylocation,24
West Lothian,HSC partnership,59.5,Home,44,2020-11-01,injurylocation,-26.1
Western Isles,HSC partnership,6,Home,17,2020-11-01,injurylocation,183.3
Aberdeen City,HSC partnership,94,Male,82,2020-11-01,sex,-12.8
Aberdeenshire,HSC partnership,94,Male,78,2020-11-01,sex,-17
Angus,HSC partnership,64.5,Male,41,2020-11-01,sex,-36.4
Argyll & Bute,HSC partnership,53,Male,39,2020-11-01,sex,-26.4
Clackmannanshire & Stirling,HSC partnership,67.5,Male,59,2020-11-01,sex,-12.6
Dumfries & Galloway,HSC partnership,56,Male,65,2020-11-01,sex,16.1
Dundee City,HSC partnership,90,Male,86,2020-11-01,sex,-4.4
East Ayrshire,HSC partnership,62,Male,48,2020-11-01,sex,-22.6
East Dunbartonshire,HSC partnership,54,Male,39,2020-11-01,sex,-27.8
East Lothian,HSC partnership,47,Male,26,2020-11-01,sex,-44.7
East Renfrewshire,HSC partnership,36,Male,29,2020-11-01,sex,-19.4
Edinburgh,HSC partnership,196,Male,136,2020-11-01,sex,-30.6
Falkirk,HSC partnership,73.5,Male,51,2020-11-01,sex,-30.6
Fife,HSC partnership,182.5,Male,155,2020-11-01,sex,-15.1
Glasgow City,HSC partnership,329.5,Male,231,2020-11-01,sex,-29.9
Highland,HSC partnership,77,Male,94,2020-11-01,sex,22.1
Inverclyde,HSC partnership,32.5,Male,32,2020-11-01,sex,-1.5
Midlothian,HSC partnership,43.5,Male,30,2020-11-01,sex,-31
Moray,HSC partnership,30.5,Male,39,2020-11-01,sex,27.9
North Ayrshire,HSC partnership,55.5,Male,53,2020-11-01,sex,-4.5
North Lanarkshire,HSC partnership,173,Male,137,2020-11-01,sex,-20.8
Orkney Islands,HSC partnership,7.5,Male,11,2020-11-01,sex,46.7
Perth & Kinross,HSC partnership,73.5,Male,62,2020-11-01,sex,-15.6
Renfrewshire,HSC partnership,82,Male,51,2020-11-01,sex,-37.8
Scottish Borders,HSC partnership,52,Male,30,2020-11-01,sex,-42.3
Shetland Islands,HSC partnership,10.5,Male,10,2020-11-01,sex,-4.8
South Ayrshire,HSC partnership,54.5,Male,45,2020-11-01,sex,-17.4
